E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
P12643,,T,F,F,F,Q04771,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. induces cartilage and bone formation by stimulating differentiation of myoblasts into osteoblast",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,ALK2
P12643,,T,F,F,F,O00238,816,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR-1B
P12643,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,2007,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. Induces cartilage and bone formation by stimulating the differentiation of myoblasts into osteoblasts via the EIF2AK3-EIF2A- ATF4 pathway in which phosphorylation of EIF2A leads to increased expression of ATF4 which plays a central role in osteoblast differentiation. In addition stimulates TMEM119 which upregulates the expression of ATF4",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulates the differentiation of myoblasts into osteoblasts via the EIF2AK3-EIF2A- ATF4 pathway",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulatory as BMP2 activates Smad1 signalling to promote bone formation and differentiation",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. The interaction between BMP-2 and BMPR-1A is fundamental to activating the BMP signalling pathway leading to the regulation of gene expression that controls bone and cartilage formation/ tissue repair and development",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1A
P12643,,T,F,F,F,P36894,2007,Receptor Ser/Thr protein kinase,Receptor for BMP2 and may promote the expression of HAM. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators.,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,BMPR1A
P12643,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1B
P12643,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1B
P12643,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR1B
P12643,,T,F,F,F,O00238,816,Receptor Ser/Thr protein kinase,On BMP2 ligand binding it forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators.,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,BMPR1B
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,672,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. BMP2 acts as a ligand that binds BMPR2 to activate downstream signalling pathways influencing cellular processes such as proliferation/ differentiation and apoptosis",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. BMP2 binds to BMPR2 with moderate affinity. BMPR2 functions as a type II receptor for BMP2 signalling ",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. BMP2 induces bone and cartilage development and regulates cellular differentiation.",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulates BMPR2 receptor signalling by binding to and initiating BMPR2 phosphorylating BMPR1A leading to phosphorylation of downstream SMAD-dependent signalling ",,Extracellular Protein Mediator,Regulatory,+,BMP2,BMPR2
P12643,,T,F,F,F,Q13873,672,Receptor Ser/Thr protein kinase,On BMP2 ligand binding it forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators.,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,BMPR2
P12643,,T,F,F,F,Q6ZVN8,3575111,,Interacts with BMP2 and acts as a BMP coreceptor. Through enhancement of BMP signalling regulates hepcidin (HAMP) expression and regulates iron homeostasis.,,Extracellular Protein Mediator,Unclassified,+,BMP2,HJV
P12643,,T,F,F,F,Q92859,9281,Membrane receptor,Receptor for BMP2 and regulates/inhibits downstream SMAD phosphorylation.,,Extracellular Protein Mediator,Regulatory,+,BMP2,NEO1
P12643,,T,F,F,F,Q96B86,3754237,Membrane protein,Interacts with BMP2 as a coreceptor that may signal through SMAD1/SMAD5/SMAD8.,,Extracellular Protein Mediator,Regulatory,+,BMP2,RGMA
P12643,,T,F,F,F,Q6NW40,3225017,Membrane protein,Interacts with BMP2 and acts as a BMP coreceptor that potentiates BMP signalling.,,Extracellular Protein Mediator,Regulatory,+,BMP2,RGMB
P12643,,T,F,F,F,Q96RF0,5213,Vesicle,Involved in endocytosis and intracellular vesicle trafficking.,,Extracellular Protein Mediator,Regulatory,+,BMP2,SNX18
P12643,,T,F,F,F,P36897,665,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,TGFBR1
P12643,,T,F,F,F,P36897,665,Receptor Ser/Thr protein kinase,Stablishes the BMP activity gradient necessary for growth and patterning in imaginal discs. This binding activates SMAD signalling,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,TGFBR1
P12643,,T,F,F,F,P37173,666,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,TGFBR2
P12643,,T,F,F,F,Q03167,7458,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP2,TGFBR3
P12644,,T,F,F,F,O14792,5023043,sulfotransferase,Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) to catalyze the transfer of a sulfo group to position 3 of glucosamine residues in heparan. Catalyzes the rate limiting step in the biosynthesis of heparan sulfate (HSact) which is a crucial step in the biosynthesis of anticoagulant heparan sulfate as it completes the structure of the antithrombin pentasaccharide binding site.,,Extracellular Protein Mediator,Metabolic,0,BMP4,HS3ST1
P12644,,T,F,F,F,Q04771,12612,TGF-beta type-1 receptor,initiates ACVR1 signalling which promotes SMAD activation and downstream effects,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1
P12644,,T,F,F,F,Q04771,12612,tyrosine-kinase like kinase,Receptor for activin A activin B and inhibin A resulting in formation of a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1
P12644,,T,F,F,F,P36896,2010,TGF-beta type-1 receptor,unknown effect of interaction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1B
P12644,,T,F,F,F,P36896,2010,tyrosine kinase-like receptor kinase,Transmembrane serine/threonine kinase activin type-1 receptor forming an activin receptor complex with activin receptor type-2 (ACVR2A or ACVR2B). Transduces the activin signal from the cell surface to the cytoplasm and is thus regulating a many physiological and pathological processes including neuronal differentiation and neuronal survival hair follicle development and cycling FSH production by the pituitary gland wound healing extracellular matrix production immunosuppression and carcinogenesis,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1B
P12644,,T,F,F,F,Q8NER5,2012,TGF-beta type-1 receptor,unknown effect of interaction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1C
P12644,,T,F,F,F,Q8NER5,2012,tyrosine kinase-like receptor kinase,Serine/threonine protein kinase which forms a receptor complex on ligand binding consisting of 2 type II and 2 type I transmembrane serine/threonine kinases where the type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators SMAD2 and SMAD3 Plays a role in cell differentiation growth arrest and apoptosis,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVR1C
P12644,,T,F,F,F,P37023,818,TGF-beta type-1 receptor,unknown effect of interaction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVRL1
P12644,,T,F,F,F,P37023,818,tyrosine kinase-like receptor kinase,Type I receptor for TGF-beta family ligands BMP9/GDF2 BMP10 and possibly activin and important regulator of normal blood vessel development. On ligand binding forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases where the type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ACVRL1
P12644,,T,F,F,F,P37023,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor is suspected to induce dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. The effect of direct interaction of the ligand with the receptor is unclear.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ALK1
P12644,,T,F,F,F,Q04771,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ALK2
P12644,,T,F,F,F,Q04771,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. BMP4 is essential role in developmental processes including neurogenesis vascular development angiogenesis and osteogenesis.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,ALK2
P12644,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1A
P12644,,T,F,F,F,P36894,2007,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1A
P12644,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulates the differentiation of myoblasts into osteoblasts via the EIF2AK3-EIF2A- ATF4 pathway",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1A
P12644,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulatory in activating signalling pathways involved in bone and tissue development",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1A
P12644,,T,F,F,F,P36894,2007,TGF-beta type-1 receptor,initiates BMPR1A signalling which promotes SMAD activation leading to many signalling pathways such as bone and cartilage development and neural crest cell differentiation,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR1A
P12644,,T,F,F,F,P36894,2007,tyrosine kinase-like receptor,On ligand binding BMPR1A forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases where the type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators. It is a receptor for BMP2 BMP4 GDF5 and GDF6 to positively regulate chondrocyte differentiation through GDF5 interaction and mediate induction of adipogenesis by GDF6,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR1A
P12644,,T,F,F,F,O00238,,Receptor-serine kinase,Acts in concert with PTHLH/PTHRP to stimulate ductal outgrowth during embryonic mammary development and to inhibit hair follicle induction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulates the differentiation of myoblasts into osteoblasts via the EIF2AK3-EIF2A- ATF4 pathway",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,816,TGF-beta type-1 receptor,initiates BMPR1A signalling which promotes SMAD activation leading to many signalling pathways such as cartilage formation and maintenance and skeletal development,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR1B
P12644,,T,F,F,F,O00238,816,tyrosine-kinase like receptor kinase,On ligand binding forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases that binds BMP7/OP-1 and GDF5. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR1B
P12644,,T,F,F,F,Q13873,672,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD proteins,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. BMP4 binds to BMPR2 with moderate affinity. BMPR2 acts as a type II receptor for BMP4 signalling ",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. Induces cartilage and bone formation. Also acts in mesoderm induction tooth development limb formation and fracture repair",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. regulates mesoderm formation and tissue differentiation",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulates BMPR2 receptor signalling by binding to and initiating BMPR2 phosphorylating BMPR1A leading to phosphorylation of downstream SMAD-dependent signalling ",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. The interaction between BMP4 and BMPR2 is a crucial component of the BMP signalling pathway influencing a wide range of biological processes such as embryonic development/ bone formation/ angiogenesis and tissue homeostasis",,Extracellular Protein Mediator,Regulatory,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,672,TGF-beta type-2 receptor,promotes binding to and phosphorylating a TGF-beta type-1 receptor such as BMPR1A leading to SMAD activation and signal transduction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR2
P12644,,T,F,F,F,Q13873,672,tyrosine kinase-like receptor,BMPR2 forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate then bind and activate SMAD transcriptional regulators,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,BMPR2
P12644,,T,F,F,F,Q5U649,12778032,uncharacterized protein,unknown effect of interaction,,Extracellular Protein Mediator,Unclassified,+,BMP4,C12orf60
P12644,,T,F,F,F,Q5U649,12778032,unknown type,unknown function,,Extracellular Protein Mediator,Unclassified,+,BMP4,C12orf60
P12644,,T,F,F,F,P36897,665,TGF-beta type-1 receptor,unknown effect of interaction,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,TGFBR1
P12644,,T,F,F,F,P36897,665,tyrosine kinase-like receptor,Transmembrane serine/threonine kinase forming with the TGF-beta type II serine/threonine kinase receptor TGFBR2 the non-promiscuous receptor for the TGF-beta cytokines TGFB1 TGFB2 and TGFB3. Transduces the TGFB1 TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells control of mesenchymal cell proliferation and differentiation wound healing extracellular matrix production immunosuppression and carcinogenesis,,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP4,TGFBR1
P12645,,T,F,F,F,Q13705,783,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP3,ACVR2B
P12645,,T,F,F,F,P36894,2007,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP3,BMPR1A
P12645,,T,F,F,F,O00238,816,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. ",,Extracellular Protein Mediator,Regulatory,+,BMP3,BMPR1B
P12645,,T,F,F,F,Q13873,672,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,BMP3,BMPR2
P12872,,T,F,F,F,O43193,8993,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,MLN,MLNR
P13232,,T,F,F,F,P16871,4971,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL7,IL-7RA
P13232,,T,F,F,F,P31785,,Single pass TM receptor,binding IL2RG activates the JAK/STAT signalling cascade,,Extracellular Protein Mediator,Regulatory,+,IL7,IL2RG
P13232,,T,F,F,F,P31785,,Single pass TM receptor,signals through a receptor complex containing IL2RG. This interaction is crucial for T cell and B cell development,,Extracellular Protein Mediator,Regulatory,+,IL7,IL2RG
P13236,,T,F,F,F,P32246,9317,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR1
P13236,,T,F,F,F,P32246,,G protein-coupled 7TM receptor,P13236 (Adiponectin) directly binds to P32246 (AdipoR1) to activate downstream signalling pathways such as AMPK,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR1
P13236,,T,F,F,F,P41597,1867,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR2
P13236,,T,F,F,F,P51681,,G protein-coupled 7TM receptor,binding to CCR5 causes downstream signalling activation including increased intracellular calcium concentrations/MAPK activation and CXCL4 desensitization,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13236,,T,F,F,F,P51681,,G protein-coupled 7TM receptor,crucial in inflammation,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13236,,T,F,F,F,P51681,2147,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13236,,T,F,F,F,P51681,,G protein-coupled 7TM receptor,negatively regulates CCR5 signalling by reducing the surface expression of CCR5 on target cells / promotes CCR5 signalling and triggers intracellular signalling pathways leading to an increase in cytosolic calcium levels and promotes cellular chemotaxis,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13236,,T,F,F,F,P51681,,G protein-coupled 7TM receptor,crucial in inflammation,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13236,,T,F,F,F,P51681,,G protein-coupled 7TM receptor,has inflammatory and chemokinetic properties and binds to CCR5,,Extracellular Protein Mediator,Regulatory,+,CCL4,CCR5
P13385,,T,F,F,F,Q96S42,,Secreted factor,acts as a nodal coreceptor and potentiates nodal signalling by stabilizing nodal-ALK4 complexes,,Extracellular Protein Mediator,Regulatory,+,TDGF1,Nodal
P13497,,T,F,F,F,P35348,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,BMP1,ADRA1A
P13497,,T,F,F,F,P02452,7512,Membrane cell surface protein,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,BMP1,COL1A1
P13500,,T,F,F,F,P32246,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL2,CCR1
P13500,,T,F,F,F,P51677,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL2,CCR3
P13500,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,CCL2 binds to ACKR4 and induces beta-arrestin recruitment leading to ligand internalization,,Extracellular Protein Mediator,Regulatory,+,CCL2,ACKR4
P13500,,T,F,F,F,P41597,,G protein-coupled 7TM receptor,binds as ligand to activate chemotactic response and mobilization of intracellular calcium ions,,Extracellular Protein Mediator,Regulatory,+,CCL2,CCR2
